Feature Group,Feature/Area,Sub-feature
Backend - Shared Components,Form Component,Form Fields
Backend - Shared Components,Form Component,Form Actions
Backend - Shared Components,Button Component,Button Text
Backend - Shared Components,Button Component,Button URL
Backend - Shared Components,Button Component,Button Style
Backend - Dynamic Zone Components,Hero,Hero Heading
Backend - Dynamic Zone Components,Hero,Hero Sub-heading
Backend - Dynamic Zone Components,Hero,Hero Background Image
Backend - Dynamic Zone Components,Hero,Hero CTAs
Backend - Dynamic Zone Components,Features,Feature Cards
Backend - Dynamic Zone Components,Features,Feature Icons
Backend - Dynamic Zone Components,Features,Feature Titles
Backend - Dynamic Zone Components,Features,Feature Descriptions
Backend - Dynamic Zone Components,Testimonials,Testimonial Slider
Backend - Dynamic Zone Components,Testimonials,Testimonial Cards
Backend - Dynamic Zone Components,Testimonials,Testimonial User Info
Backend - Dynamic Zone Components,How It Works,How It Works Cards
Backend - Dynamic Zone Components,How It Works,How It Works Steps
Backend - Dynamic Zone Components,Brands,Brand Logos
Backend - Dynamic Zone Components,Brands,Brand Links
Backend - Dynamic Zone Components,Pricing,Pricing Plans
Backend - Dynamic Zone Components,Pricing,Pricing Features
Backend - Dynamic Zone Components,Pricing,Pricing CTAs
Backend - Dynamic Zone Components,Launches,Launch Timeline
Backend - Dynamic Zone Components,Launches,Launch Events
Backend - Dynamic Zone Components,CTA (Call To Action),CTA Text
Backend - Dynamic Zone Components,CTA (Call To Action),CTA Button
Backend - Dynamic Zone Components,CTA (Call To Action),CTA Link
Backend - Dynamic Zone Components,Form Next To Section,Form Fields
Backend - Dynamic Zone Components,Form Next To Section,Section Content
Backend - Dynamic Zone Components,Form Next To Section,Contact Items
Backend - Dynamic Zone Components,FAQ,FAQ Questions
Backend - Dynamic Zone Components,FAQ,FAQ Answers
Backend - Dynamic Zone Components,Solutions,Solution Cards
Backend - Dynamic Zone Components,Solutions,Solution Descriptions
Backend - Dynamic Zone Components,About,About Content
Backend - Dynamic Zone Components,About,About Images
Backend - Dynamic Zone Components,Latest Section,Latest Items
Backend - Dynamic Zone Components,Latest Section,Latest Links
Backend - Dynamic Zone Components,Featured Product,Featured Product Display
Backend - Dynamic Zone Components,Featured Product,Featured Product Info
Backend - Dynamic Zone Components,Related Articles,Related Article Cards
Backend - Dynamic Zone Components,Related Articles,Related Article Links
Backend - Dynamic Zone Components,Related Products,Related Product Cards
Backend - Dynamic Zone Components,Related Products,Related Product Links
Frontend - Content & Pages,Homepage,Homepage Hero Section
Frontend - Content & Pages,Homepage,Homepage Features Section
Frontend - Content & Pages,Homepage,Homepage Testimonials Section
Frontend - Content & Pages,Homepage,Homepage Solutions Section
Frontend - Content & Pages,Homepage,Homepage Pricing Section
Frontend - Content & Pages,Homepage,Homepage Services Section
Frontend - Content & Pages,Homepage,Homepage About Section
Frontend - Content & Pages,Homepage,Homepage Blogs Section
Frontend - Content & Pages,Homepage,Homepage Process Section
Frontend - Content & Pages,Homepage,Homepage Dynamic Content
Frontend - Content & Pages,About Page,About Page Content
Frontend - Content & Pages,About Page,About Page Dynamic Zones
Frontend - Content & Pages,About Page,About Page SEO
Frontend - Content & Pages,Blog,Blog Listing Page
Frontend - Content & Pages,Blog,Blog Post Page
Frontend - Content & Pages,Blog,Blog Categories
Frontend - Content & Pages,Blog,Blog Authors
Frontend - Content & Pages,Blog,Blog Related Articles
Frontend - Content & Pages,Blog,Blog Comments (Structure)
Frontend - Content & Pages,Blog,Blog SEO
Frontend - Content & Pages,Blog,Blog Localization
Frontend - Content & Pages,Products,Products Listing Page
Frontend - Content & Pages,Products,Product Detail Page
Frontend - Content & Pages,Products,Product Categories
Frontend - Content & Pages,Products,Product Plans (Pricing)
Frontend - Content & Pages,Products,Product Perks
Frontend - Content & Pages,Products,Product Featured Display
Frontend - Content & Pages,Products,Product Related Products
Frontend - Content & Pages,Products,Product SEO
Frontend - Content & Pages,Products,Product Localization
Frontend - Content & Pages,Contact Page,Contact Form
Frontend - Content & Pages,Contact Page,Contact Cards Display
Frontend - Content & Pages,Contact Page,Contact Card QR Codes (vCard)
Frontend - Content & Pages,Contact Page,Contact Card CSV Download
Frontend - Content & Pages,Contact Page,Contact Card Social Media Links
Frontend - Content & Pages,Contact Page,Contact Page Dynamic Zones
Frontend - Content & Pages,Contact Page,Contact Page SEO
Frontend - Content & Pages,FAQ Page,FAQ Listing
Frontend - Content & Pages,FAQ Page,FAQ Accordion
Frontend - Content & Pages,FAQ Page,FAQ Structured Data (JSON-LD)
Frontend - Content & Pages,FAQ Page,FAQ Localization
Frontend - Content & Pages,FAQ Page,FAQ SEO
Frontend - Content & Pages,Documentation (Doc),Doc Listing Page
Frontend - Content & Pages,Documentation (Doc),Doc Detail Page
Frontend - Content & Pages,Documentation (Doc),Doc Dynamic Zones
Frontend - Content & Pages,Documentation (Doc),Doc SEO
Frontend - Content & Pages,Documentation (Doc),Doc Localization
Frontend - Content & Pages,Dynamic Pages (Slug-based),Dynamic Page Routing
Frontend - Content & Pages,Dynamic Pages (Slug-based),Dynamic Page Content
Frontend - Content & Pages,Dynamic Pages (Slug-based),Dynamic Page Dynamic Zones
Frontend - Content & Pages,Dynamic Pages (Slug-based),Dynamic Page SEO
Frontend - Content & Pages,Dynamic Pages (Slug-based),Dynamic Page Localization
Frontend - User & Interaction,Newsletter Subscription,Newsletter Form
Frontend - User & Interaction,Newsletter Subscription,Newsletter API Integration
Frontend - User & Interaction,Newsletter Subscription,Newsletter Success/Error Messages
Frontend - User & Interaction,Newsletter Subscription,Newsletter Localization
Frontend - User & Interaction,Contact Form,Contact Form Fields
Frontend - User & Interaction,Contact Form,Contact Form Validation
Frontend - User & Interaction,Contact Form,Contact Form Submission
Frontend - User & Interaction,Contact Form,Contact Form API Integration
Frontend - User & Interaction,Contact Form,Contact Form Success/Error Messages
Frontend - User & Interaction,Contact Form,Contact Form Bot Detection
Frontend - User & Interaction,Contact Form,Contact Form Localization
Frontend - User & Interaction,Cart Context (Shopping Cart),Cart State Management
Frontend - User & Interaction,Cart Context (Shopping Cart),Cart Add/Remove Items
Frontend - User & Interaction,Cart Context (Shopping Cart),Cart Total Calculation
Frontend - SEO & Analytics,SEO Meta Tags,Dynamic Meta Title
Frontend - SEO & Analytics,SEO Meta Tags,Dynamic Meta Description
Frontend - SEO & Analytics,SEO Meta Tags,Dynamic Meta Image
Frontend - SEO & Analytics,SEO Meta Tags,Meta Keywords
Frontend - SEO & Analytics,SEO Meta Tags,Meta Robots
Frontend - SEO & Analytics,SEO Meta Tags,Canonical URL
Frontend - SEO & Analytics,SEO Meta Tags,Meta Viewport
Frontend - SEO & Analytics,Dynamic Sitemap,XML Sitemap Generation
Frontend - SEO & Analytics,Dynamic Sitemap,Multi-language Sitemap
Frontend - SEO & Analytics,Dynamic Sitemap,Sitemap Index
Frontend - SEO & Analytics,Dynamic Sitemap,AI Sitemap
Frontend - SEO & Analytics,Dynamic Sitemap,Sitemap Auto-refresh
Frontend - SEO & Analytics,Dynamic Sitemap,Sitemap Content API
Frontend - SEO & Analytics,Google Analytics 4,GA4 Integration
Frontend - SEO & Analytics,Google Analytics 4,GA4 Page View Tracking
Frontend - SEO & Analytics,Google Analytics 4,GA4 Event Tracking
Frontend - SEO & Analytics,Google Analytics 4,GA4 Cookie Consent
Frontend - SEO & Analytics,Structured Data,OpenGraph Tags
Frontend - SEO & Analytics,Structured Data,Twitter Card Tags
Frontend - SEO & Analytics,Structured Data,JSON-LD (FAQ/Blog/Product/Org)
Frontend - SEO & Analytics,QR Code Generation,QR Code for Contact Cards (vCard)
Frontend - SEO & Analytics,QR Code Generation,QR Code Display
Frontend - SEO & Analytics,QR Code Generation,QR Code Download
Frontend - SEO & Analytics,QR Code Generation,QR Code Print Option
Frontend - SEO & Analytics,Robots.txt,Robots.txt Generation
Frontend - SEO & Analytics,Robots.txt,Robots.txt Rules
Frontend - Admin System,Authentication,Admin Login
Frontend - Admin System,Authentication,Admin Logout
Frontend - Admin System,Authentication,NextAuth Integration
Frontend - Admin System,Authentication,Session Management
Frontend - Admin System,Authentication,Auth Guard
Frontend - Admin System,Authentication,Role-based Access Control
Frontend - Admin System,Dashboard,Admin Dashboard
Frontend - Admin System,Dashboard,Quick Stats
Frontend - Admin System,Dashboard,Overview Cards
Frontend - Admin System,Dashboard,Navigation Menu
Frontend - Admin System,User Management,Admin Users List
Frontend - Admin System,User Management,Admin User CRUD
Frontend - Admin System,User Management,Admin User Roles
Frontend - Admin System,User Management,Admin User Permissions
Frontend - Admin System,Sitemap Viewer,Sitemap XML Preview
Frontend - Admin System,Sitemap Viewer,Sitemap Content View
Frontend - Admin System,Sitemap Viewer,Sitemap Verification
Frontend - Admin System,Sitemap Viewer,Sitemap Management
Frontend - Admin System,Environment Checker,Environment Variables Display
Frontend - Admin System,Environment Checker,Environment Variables Validation
Frontend - Admin System,Environment Checker,Environment Variables Status
Frontend - Admin System,Environment Checker,Environment Variables Recommendations
Frontend - Admin System,Environment Checker,Server Info Display
Frontend - Admin System,Cache Control,Cache Management
Frontend - Admin System,Cache Control,Cache Clearing
Frontend - Admin System,Cache Control,Cache Testing
Frontend - Admin System,Cache Control,Cache Status
Frontend - Admin System,Cache Test,Cache Test Tools
Frontend - Admin System,Cache Test,Cache Performance Testing
Frontend - Appearance & UX,Responsive Design,Mobile-first Design
Frontend - Appearance & UX,Responsive Design,Tablet Optimization
Frontend - Appearance & UX,Responsive Design,Desktop Optimization
Frontend - Appearance & UX,Responsive Design,Breakpoint Management
Frontend - Appearance & UX,Custom 404 Page,404 Error Page
Frontend - Appearance & UX,Custom 404 Page,404 Error Message
Frontend - Appearance & UX,Custom 404 Page,404 Navigation
Frontend - Appearance & UX,Optimized Image Handling,Next.js Image Optimization
Frontend - Appearance & UX,Optimized Image Handling,Image Lazy Loading
Frontend - Appearance & UX,Optimized Image Handling,Image CDN Support
Frontend - Appearance & UX,Optimized Image Handling,WebP Format Support
Frontend - Appearance & UX,Optimized Image Handling,Image Responsive Sizes
Frontend - Appearance & UX,Language Switcher (i18n),Language Selection
Frontend - Appearance & UX,Language Switcher (i18n),Language Cookie Management
Frontend - Appearance & UX,Language Switcher (i18n),Language Context
Frontend - Appearance & UX,Language Switcher (i18n),RTL Support
Frontend - Appearance & UX,Language Switcher (i18n),Locale Routing
Frontend - Appearance & UX,Language Switcher (i18n),Localized Slugs
Frontend - Appearance & UX,Scroll-to-Top,Scroll-to-Top Button
Frontend - Appearance & UX,Scroll-to-Top,Scroll-to-Top Animation
Frontend - Appearance & UX,Smooth Navigation,Smooth Scroll
Frontend - Appearance & UX,Smooth Navigation,Page Transitions
Frontend - Appearance & UX,Smooth Navigation,Navigation Animation
Frontend - Appearance & UX,UI Components,Header/Navbar (Desktop & Mobile)
Frontend - Appearance & UX,UI Components,Footer
Frontend - Appearance & UX,UI Components,Container
Frontend - Appearance & UX,UI Components,Button
Frontend - Appearance & UX,UI Components,Heading
Frontend - Appearance & UX,UI Components,Subheading
Frontend - Appearance & UX,UI Components,Modal
Frontend - Appearance & UX,UI Components,Tooltip
Frontend - Appearance & UX,UI Components,Animated Modal
Frontend - Appearance & UX,UI Components,Canvas Reveal Effect
Frontend - Appearance & UX,UI Components,Globe
Frontend - Appearance & UX,UI Components,Sparkles
Frontend - Appearance & UX,UI Components,Sticky Scroll
Frontend - Appearance & UX,UI Components,Page Wrapper
Frontend - Appearance & UX,UI Components,Direction Provider
Frontend - Appearance & UX,UI Components,Blur Image
Frontend - Appearance & UX,UI Components,Gradient Container
Frontend - Appearance & UX,UI Components,Decorations (Ambient Color/Cover/Shooting Star/Star Background)
Frontend - Appearance & UX,UI Components,Beam Effect
Frontend - API Endpoints,Authentication API,NextAuth API Routes
Frontend - API Endpoints,Authentication API,Logout API
Frontend - API Endpoints,Authentication API,User API
Frontend - API Endpoints,Contact API,Contact Form Submission
Frontend - API Endpoints,Contact API,Contact Data Processing
Frontend - API Endpoints,Newsletter API,Newsletter Subscription
Frontend - API Endpoints,Newsletter API,Newsletter Data Processing
Frontend - API Endpoints,Sitemap API,Sitemap Content Generation
Frontend - API Endpoints,Sitemap API,Sitemap Recreation
Frontend - API Endpoints,Sitemap API,Sitemap Testing
Frontend - API Endpoints,Revalidation API,Cache Revalidation
Frontend - API Endpoints,Revalidation API,ISR Revalidation
Frontend - API Endpoints,Preview API,Preview Mode
Frontend - API Endpoints,Preview API,Draft Content Preview
Frontend - API Endpoints,Environment API,Environment Variables Testing
Frontend - API Endpoints,Environment API,Environment Variables Debugging
Frontend - API Endpoints,Language Config API,Language Configuration
Frontend - API Endpoints,Language Config API,Language Settings
Frontend - Strapi Integration,Enhanced Fetch,Strapi API Client
Frontend - Strapi Integration,Enhanced Fetch,Data Transformation
Frontend - Strapi Integration,Enhanced Fetch,Error Handling
Frontend - Strapi Integration,Enhanced Fetch,Cache Management
Frontend - Strapi Integration,Strapi Image,Image URL Generation
Frontend - Strapi Integration,Strapi Image,Image Optimization
Frontend - Strapi Integration,Strapi Image,Image CDN Support
Frontend - Strapi Integration,Layout Data Fetching,Navbar Data
Frontend - Strapi Integration,Layout Data Fetching,Footer Data
Frontend - Strapi Integration,Layout Data Fetching,Global Settings
Frontend - Strapi Integration,Content Fetching,Page Data
Frontend - Strapi Integration,Content Fetching,Article Data
Frontend - Strapi Integration,Content Fetching,Product Data
Frontend - Strapi Integration,Content Fetching,FAQ Data
Frontend - Strapi Integration,Content Fetching,Contact Data
Deployment & DevOps - Server Installation & Environment Preparation,Node.js Version Management,Node.js 20.19.2 installation
Deployment & DevOps - Server Installation & Environment Preparation,Node.js Version Management,NVM (Node Version Manager) setup
Deployment & DevOps - Server Installation & Environment Preparation,Node.js Version Management,Node.js path configuration
Deployment & DevOps - Server Installation & Environment Preparation,Node.js Version Management,Node.js version validation
Deployment & DevOps - Server Installation & Environment Preparation,Project Directory Setup,Project directory structure
Deployment & DevOps - Server Installation & Environment Preparation,Project Directory Setup,Directory permissions setup
Deployment & DevOps - Server Installation & Environment Preparation,Project Directory Setup,Directory ownership configuration
Deployment & DevOps - Server Installation & Environment Preparation,Project Directory Setup,Directory creation and validation
Deployment & DevOps - Server Installation & Environment Preparation,Environment Variables Setup,Environment file creation (.env, .env.production)
Deployment & DevOps - Server Installation & Environment Preparation,Environment Variables Setup,Environment variable validation
Deployment & DevOps - Server Installation & Environment Preparation,Environment Variables Setup,Environment file copying (copy-env.mts)
Deployment & DevOps - Server Installation & Environment Preparation,Environment Variables Setup,Environment variable security
Deployment & DevOps - Server Installation & Environment Preparation,Environment Variables Setup,Environment file backup
Deployment & DevOps - Server Installation & Environment Preparation,Dependencies Installation,Root project dependencies (yarn install)
Deployment & DevOps - Server Installation & Environment Preparation,Dependencies Installation,Strapi dependencies installation
Deployment & DevOps - Server Installation & Environment Preparation,Dependencies Installation,Next.js dependencies installation
Deployment & DevOps - Server Installation & Environment Preparation,Dependencies Installation,Dependency version management
Deployment & DevOps - Server Installation & Environment Preparation,Dependencies Installation,Dependency cleanup
Deployment & DevOps - Web Server Configuration (Nginx),SSL/HTTPS Setup,Let's Encrypt SSL certificate configuration
Deployment & DevOps - Web Server Configuration (Nginx),SSL/HTTPS Setup,SSL certificate paths (fullchain.pem, privkey.pem)
Deployment & DevOps - Web Server Configuration (Nginx),SSL/HTTPS Setup,SSL session settings (timeout, cache)
Deployment & DevOps - Web Server Configuration (Nginx),SSL/HTTPS Setup,TLS protocol configuration (TLSv1.2, TLSv1.3)
Deployment & DevOps - Web Server Configuration (Nginx),SSL/HTTPS Setup,SSL cipher suite configuration
Deployment & DevOps - Web Server Configuration (Nginx),SSL/HTTPS Setup,HSTS (HTTP Strict Transport Security) setup
Deployment & DevOps - Web Server Configuration (Nginx),Reverse Proxy Configuration,Nginx reverse proxy setup
Deployment & DevOps - Web Server Configuration (Nginx),Reverse Proxy Configuration,Backend proxy (Strapi on port 1337)
Deployment & DevOps - Web Server Configuration (Nginx),Reverse Proxy Configuration,Frontend proxy (Next.js on port 3000)
Deployment & DevOps - Web Server Configuration (Nginx),Reverse Proxy Configuration,Proxy headers configuration (Host, X-Real-IP, X-Forwarded-For, X-Forwarded-Proto)
Deployment & DevOps - Web Server Configuration (Nginx),Reverse Proxy Configuration,Proxy buffer settings
Deployment & DevOps - Web Server Configuration (Nginx),Reverse Proxy Configuration,Proxy timeout configurations
Deployment & DevOps - Web Server Configuration (Nginx),Reverse Proxy Configuration,WebSocket support (Upgrade, Connection headers)
Deployment & DevOps - Web Server Configuration (Nginx),Domain Configuration,Domain setup (vakav.ai, www.vakav.ai)
Deployment & DevOps - Web Server Configuration (Nginx),Domain Configuration,Domain aliases configuration
Deployment & DevOps - Web Server Configuration (Nginx),Domain Configuration,HTTP to HTTPS redirect (301)
Deployment & DevOps - Web Server Configuration (Nginx),Domain Configuration,IPv4 and IPv6 support
Deployment & DevOps - Web Server Configuration (Nginx),Domain Configuration,HTTP/2 support
Deployment & DevOps - Web Server Configuration (Nginx),Static Asset Caching,Static asset caching (JS, CSS, images, fonts)
Deployment & DevOps - Web Server Configuration (Nginx),Static Asset Caching,Cache expiration (1 year)
Deployment & DevOps - Web Server Configuration (Nginx),Static Asset Caching,Cache-Control headers
Deployment & DevOps - Web Server Configuration (Nginx),Static Asset Caching,Immutable cache configuration
Deployment & DevOps - Web Server Configuration (Nginx),Static Asset Caching,Cache optimization
Deployment & DevOps - Web Server Configuration (Nginx),Nginx Configuration Management,Nginx configuration file (vakav.ai.conf)
Deployment & DevOps - Web Server Configuration (Nginx),Nginx Configuration Management,Nginx configuration testing (nginx -t)
Deployment & DevOps - Web Server Configuration (Nginx),Nginx Configuration Management,Nginx configuration reload
Deployment & DevOps - Web Server Configuration (Nginx),Nginx Configuration Management,Nginx service management
Deployment & DevOps - Web Server Configuration (Nginx),Nginx Configuration Management,Nginx logging setup (access/error logs)
Deployment & DevOps - Database Setup & Migrations,SQLite Database Setup,SQLite database creation
Deployment & DevOps - Database Setup & Migrations,SQLite Database Setup,Database file permissions
Deployment & DevOps - Database Setup & Migrations,SQLite Database Setup,Database directory setup
Deployment & DevOps - Database Setup & Migrations,SQLite Database Setup,Database file ownership
Deployment & DevOps - Database Setup & Migrations,SQLite Database Setup,Database initialization
Deployment & DevOps - Database Setup & Migrations,Database Permissions,Database file permissions (664)
Deployment & DevOps - Database Setup & Migrations,Database Permissions,Database directory permissions (755)
Deployment & DevOps - Database Setup & Migrations,Database Permissions,Database ownership (administrator:administrator)
Deployment & DevOps - Database Setup & Migrations,Database Permissions,Database permission fix script (fix-database-issue.sh)
Deployment & DevOps - Database Setup & Migrations,Database Migrations,Database migration scripts
Deployment & DevOps - Database Setup & Migrations,Database Migrations,Database schema updates
Deployment & DevOps - Database Setup & Migrations,Database Migrations,Database data migration
Deployment & DevOps - Database Setup & Migrations,Database Migrations,Migration rollback support
Deployment & DevOps - Database Setup & Migrations,Database Backup,Database backup directory creation
Deployment & DevOps - Database Setup & Migrations,Database Backup,Database backup automation
Deployment & DevOps - Database Setup & Migrations,Database Backup,Database backup recovery
Deployment & DevOps - Database Setup & Migrations,Database Backup,Database backup validation
Deployment & DevOps - CI/CD Pipeline Scripts,Deployment Script (deploy.sh),Main deployment script
Deployment & DevOps - CI/CD Pipeline Scripts,Deployment Script (deploy.sh),Service stopping (systemd)
Deployment & DevOps - CI/CD Pipeline Scripts,Deployment Script (deploy.sh),Dependency installation
Deployment & DevOps - CI/CD Pipeline Scripts,Deployment Script (deploy.sh),Strapi build process
Deployment & DevOps - CI/CD Pipeline Scripts,Deployment Script (deploy.sh),Next.js build process
Deployment & DevOps - CI/CD Pipeline Scripts,Deployment Script (deploy.sh),Environment file creation
Deployment & DevOps - CI/CD Pipeline Scripts,Deployment Script (deploy.sh),Backup directory creation
Deployment & DevOps - CI/CD Pipeline Scripts,Deployment Script (deploy.sh),Service starting (systemd)
Deployment & DevOps - CI/CD Pipeline Scripts,Deployment Script (deploy.sh),Deployment status reporting
Deployment & DevOps - CI/CD Pipeline Scripts,Service Setup Script (setup-services.sh),Systemd service installation
Deployment & DevOps - CI/CD Pipeline Scripts,Service Setup Script (setup-services.sh),Nginx configuration update
Deployment & DevOps - CI/CD Pipeline Scripts,Service Setup Script (setup-services.sh),Service enabling
Deployment & DevOps - CI/CD Pipeline Scripts,Service Setup Script (setup-services.sh),Service dependency configuration
Deployment & DevOps - CI/CD Pipeline Scripts,Service Setup Script (setup-services.sh),Directory creation
Deployment & DevOps - CI/CD Pipeline Scripts,Service Setup Script (setup-services.sh),Permission setting
Deployment & DevOps - CI/CD Pipeline Scripts,Service Setup Script (setup-services.sh),Service validation
Deployment & DevOps - CI/CD Pipeline Scripts,Cleanup Script (cleanup-old-services.sh),Old service stopping
Deployment & DevOps - CI/CD Pipeline Scripts,Cleanup Script (cleanup-old-services.sh),Old service disabling
Deployment & DevOps - CI/CD Pipeline Scripts,Cleanup Script (cleanup-old-services.sh),Old service file removal
Deployment & DevOps - CI/CD Pipeline Scripts,Cleanup Script (cleanup-old-services.sh),Old directory backup
Deployment & DevOps - CI/CD Pipeline Scripts,Cleanup Script (cleanup-old-services.sh),Old file cleanup
Deployment & DevOps - CI/CD Pipeline Scripts,Cleanup Script (cleanup-old-services.sh),Systemd daemon reload
Deployment & DevOps - CI/CD Pipeline Scripts,Rsync to Server Script (01-rsync-to-server.sh),Local to remote server sync
Deployment & DevOps - CI/CD Pipeline Scripts,Rsync to Server Script (01-rsync-to-server.sh),Rsync exclusion file (.rsync-exclude)
